Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:52.748195
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,4100.07
Minimum Reflectance,350.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,FELD_Plagioclase LAPL38
Sample Name,FELD_Plagioclase LAPL38
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.763434489,0.7628311653
R1,436.0,0.7640574051,0.7635332711
L6,482.0,0.7762987842,0.7763179562
L5,535.0,0.7819925512,0.7819983172
L4,601.0,0.7885403048,0.7885420476
L3,673.0,0.7909444194,0.790951009
L1,739.0,0.7889339173,0.78977771
L2,753.0,0.7920882843,0.7920924246
R2,754.0,0.7921083978,0.7921120871
R3,803.0,0.7932069744,0.7932081563
R4,864.0,0.7932007719,0.7932672159
R5,904.0,0.7900240049,0.7900175017
R6,934.0,0.7902217405,0.7902343216
R7,1009.0,0.7899655894,0.7899933354
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.7650761491,0.7645912104
p5,670.0,0.7908236484,0.7908320044
p6,800.0,0.7931475778,0.7931511998
p7,860.0,0.7931608722,0.7932409621
p8,900.0,0.7905589669,0.7905265419
p9,930.0,0.7901442175,0.7901590584
p11,965.0,0.7915146806,0.791494631
p10,1000.0,0.7899700579,0.7899794606
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.774335537,0.766593058
blue,482.0,0.7797769308,0.7760198508
green,561.0,0.7850584474,0.7845559993
pan,589.0,0.7865170222,0.7864132933
red,655.0,0.7902840493,0.7899054605
nir,865.0,0.7917854412,0.7936943955
cirrus,1373.0,0.7876741076,0.7877535328
swir1,1609.0,0.7925468344,0.7931003907
swir2,2200.0,0.7946168343,0.7942431375
