Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:09:00.708263
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2685.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,OLV_Fo97_c1po52_RELAB
Sample Name,OLV_Fo97_c1po52_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6840747121,0.6826168146
R1,436.0,0.6856295934,0.6843831256
L6,482.0,0.7200672636,0.7201046932
L5,535.0,0.7522084237,0.7522521941
L4,601.0,0.7725167845,0.7725313904
L3,673.0,0.7827314859,0.782741703
L1,739.0,0.7546724229,0.7495987073
L2,753.0,0.7692071375,0.7691668722
R2,754.0,0.7688191658,0.7687769682
R3,803.0,0.7490261455,0.7489837542
R4,864.0,0.7288253266,0.7288310688
R5,904.0,0.7187728867,0.7187043089
R6,934.0,0.7066960833,0.7066295424
R7,1009.0,0.661874568,0.6614687475
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6883436479,0.6871797304
p5,670.0,0.7822996252,0.7823150693
p6,800.0,0.7499555583,0.7498822553
p7,860.0,0.7298839484,0.7298778987
p8,900.0,0.7198360317,0.7197100634
p9,930.0,0.7079637918,0.7078209092
p11,965.0,0.6867864609,0.6864862734
p10,1000.0,0.6636429393,0.6633696359
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.683436706,0.6921735115
blue,482.0,0.7229815708,0.7203684972
green,561.0,0.7601325828,0.7615221682
pan,589.0,0.7682808621,0.7667369261
red,655.0,0.7840092322,0.7803396451
nir,865.0,0.7234538826,0.7287043636
cirrus,1373.0,0.7453314147,0.7462450998
swir1,1609.0,0.8166422186,0.8195671311
swir2,2200.0,0.8367699806,0.8358931807
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.6966592156,0.6956199239
bayer_blue,495.0,0.7259916308,0.7260661755
filter1_525nm_34mm,527.0,0.7478877248,0.7468601429
bayer_green,554.0,0.7555605586,0.75571873
bayer_red,640.0,0.7767532824,0.7770833697
filter4_675nm_34mm,676.0,0.7829566036,0.7829609796
filter3_750nm_34mm,751.0,0.7694058541,0.7692811463
filter3_800nm_100mm,805.0,0.7479443717,0.7478858577
filter5_865nm_34mm,867.0,0.7278872278,0.7277898049
filter4_905nm_100mm,908.0,0.7176537359,0.7174974231
filter5_935nm_100mm,937.0,0.7045680128,0.7042169901
filter6_1035nm_34mm,1012.0,0.6580518976,0.6568785041
