Composition,
Database of Origin,Unknown
Date Added,2021-03-20 18:08:57.293523
Formula,
Grain Size,
Locality,
Material Class,
Maximum Reflectance,2600.0
Minimum Reflectance,300.0
Other Information,
References,
Resolution,
Sample Description,
Sample ID,Sulfate_Melanterite_casf44_RELAB
Sample Name,Sulfate_Melanterite_casf44_RELAB
Sample Type,
Viewing Geometry,
filter,wavelength,solar_illuminated_response,response
L7,432.0,0.6520479619,0.6481096008
R1,436.0,0.6546215408,0.6510895103
L6,482.0,0.7653253312,0.7654404284
L5,535.0,0.8350745288,0.8351869895
L4,601.0,0.8545826368,0.8545571774
L3,673.0,0.7944256371,0.7943231225
L1,739.0,0.7311401792,0.7025634925
L2,753.0,0.7178701535,0.7177376535
R2,754.0,0.7166366829,0.7164974689
R3,803.0,0.6482891233,0.6481317732
R4,864.0,0.5681689525,0.5682291522
R5,904.0,0.5405398643,0.5404236354
R6,934.0,0.5318027678,0.5317932749
R7,1009.0,0.536238042,0.5363835454
filter,wavelength,solar_illuminated_response,response
p0,440.0,0.6579132729,0.6541378059
p5,670.0,0.7971050987,0.7969563737
p6,800.0,0.6515085949,0.65124813
p7,860.0,0.5726887517,0.5726599883
p8,900.0,0.5431102775,0.5428748636
p9,930.0,0.5326289516,0.5325812048
p11,965.0,0.5309221456,0.530940293
p10,1000.0,0.5354697565,0.5355483281
filter,wavelength,solar_illuminated_response,response
coastal_aerosol,443.0,0.6440280635,0.6508873101
blue,482.0,0.7647204079,0.7622737363
green,561.0,0.8500403042,0.8516077648
pan,589.0,0.8377969376,0.8345403127
red,655.0,0.8157768059,0.8116496311
nir,865.0,0.5641926269,0.5683276951
cirrus,1373.0,0.6935996596,0.6944540707
swir1,1609.0,0.6430431137,0.6457455387
swir2,2200.0,0.5339347326,0.5351350354
filter,wavelength,solar_illuminated_response,response
filter2_440nm_34mm,445.0,0.6596262695,0.651710589
bayer_blue,495.0,0.7692565712,0.7682486919
filter1_525nm_34mm,527.0,0.8227573932,0.8188156747
bayer_green,554.0,0.8358533271,0.8353308887
bayer_red,640.0,0.8258732281,0.8245963272
filter4_675nm_34mm,676.0,0.7916587779,0.7915498699
filter3_750nm_34mm,751.0,0.7196877303,0.719230483
filter3_800nm_100mm,805.0,0.6450517945,0.6446523285
filter5_865nm_34mm,867.0,0.5667024952,0.5659748908
filter4_905nm_100mm,908.0,0.5402954648,0.5392151129
filter5_935nm_100mm,937.0,0.5347279782,0.5330363202
filter6_1035nm_34mm,1012.0,0.5417067226,0.539944362
filter,wavelength,solar_illuminated_response,response
L6,442.0,0.6505086726,0.6466062094
L0B,482.0,0.7418575916,0.738975203
L5,528.0,0.8268176324,0.8262156937
L0G,544.0,0.8278520987,0.8278689983
L4,605.0,0.8528351665,0.8522795954
L0R,630.0,0.8260195712,0.8246699013
L3,677.0,0.7895941937,0.7889292271
L2,754.0,0.7160163071,0.7156121958
L1,800.0,0.6496527445,0.6492307933
R2,866.0,0.5666289405,0.5663968014
R3,910.0,0.537869382,0.5374078384
R4,939.0,0.5313091411,0.5309044678
R5,978.0,0.5313655045,0.5309875849
R6,1022.0,0.5388787233,0.538785884
filter,wavelength,solar_illuminated_response,response
bg,501.6761135725,0.7661869949,0.7617180442
red,685.7899115028,0.7852263386,0.7734882399
nir,878.2928523721,0.5837087815,0.5778902075
